NRO_REGISTRO,FECHA_CORTE,DEPARTAMENTO,PROVINCIA,DISTRITO,GOBIERNO_LOCAL,UBIGEO,DIA_RECORRIDO,MES_RECORRIDO,SEMANA_RECORRIDO,DIA_SEMANA_RECORRIDO,TURNO,UNIDAD,CONDUCTOR,PLACA,NRO_BOLETA,UNIDAD,CANTIDAD,RELLENO_SANITARIO
1,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240101,202401,1,LUNES,MAÃ‘ANA,1,6d6aec8ad5e871cd304fa026a941c749b5386fe5178bc1a969f6a50bbbefa155,BFZ705,1916576,TONELADAS,9.27,MODELO DEL CALLAO
2,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240101,202401,1,LUNES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1916647,TONELADAS,7.87,MODELO DEL CALLAO
3,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240101,202401,1,LUNES,NOCHE,1,510a977bc0ea4b2bbab5fdf31dcd0e09b5d47340516946643ea135680f271982,BTQ941,1916755,TONELADAS,17.6,MODELO DEL CALLAO
4,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240101,202401,1,LUNES,NOCHE,2,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1916693,TONELADAS,8.76,MODELO DEL CALLAO
5,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240101,202401,1,LUNES,NOCHE,3,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BTR863,1916763,TONELADAS,14.17,MODELO DEL CALLAO
6,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240101,202401,1,LUNES,NOCHE,4,e483237fd6bd1ccc9c6a16e357f6e13a5879f4096a338cd91b602372532b4c01,BFZ705,1916740,TONELADAS,11.45,MODELO DEL CALLAO
7,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240101,202401,1,LUNES,NOCHE,5,8ae24c13845e5f85fca4c702568a74c07fa2883d658801f2960494270e501cc6,BHH850,1916743,TONELADAS,8.79,MODELO DEL CALLAO
8,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240102,202401,1,MARTES,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BCP798,1916883,TONELADAS,8.51,MODELO DEL CALLAO
9,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240102,202401,1,MARTES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1917028,TONELADAS,9.92,MODELO DEL CALLAO
10,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240102,202401,1,MARTES,NOCHE,1,4a7cd82be137fde40100cb970bc6a44aafeb3fd1a0de5eecc9d07289ae6e15be,BHH850,1917072,TONELADAS,13.32,MODELO DEL CALLAO
